MMSADB01:000015813:mpeg21:p004:alto_1.jpg;illustratie met onderschrift;Provinciale Noordbrabantsche en 's Hertogenbossche courant;1885-07-18;http://resolver.kb.nl/resolve?urn=MMSADB01:000015813:mpeg21:a0006;sheetmusic;drawing
MMHCO01:000064982:mpeg21:p001:alto_3.jpg;illustratie met onderschrift;Provinciale Overijsselsche en Zwolsche courant;1885-11-25;http://resolver.kb.nl/resolve?urn=MMHCO01:000064982:mpeg21:a0001;maps;drawing
ddd:011087242:mpeg21:p006:alto_2.jpg;artikel;Soerabaijasch handelsblad;1885-07-11;http://resolver.kb.nl/resolve?urn=ddd:011087242:mpeg21:a0031;schematics;drawing
ddd:011087242:mpeg21:p006:alto_3.jpg;artikel;Soerabaijasch handelsblad;1885-07-11;http://resolver.kb.nl/resolve?urn=ddd:011087242:mpeg21:a0040;schematics;drawing
ddd:110613294:mpeg21:p007:alto_1.jpg;illustratie met onderschrift;Bataviaasch handelsblad;1885-07-25;http://resolver.kb.nl/resolve?urn=ddd:110613294:mpeg21:a0047;chess;drawing
ddd:011087259:mpeg21:p006:alto_1.jpg;artikel;Soerabaijasch handelsblad;1885-08-01;http://resolver.kb.nl/resolve?urn=ddd:011087259:mpeg21:a0044;schematics;drawing
ddd:011087259:mpeg21:p006:alto_2.jpg;illustratie met onderschrift;Soerabaijasch handelsblad;1885-08-01;http://resolver.kb.nl/resolve?urn=ddd:011087259:mpeg21:a0047;schematics;drawing
ddd:011008601:mpeg21:p001:alto_1.jpg;illustratie met onderschrift;Rotterdamsch nieuwsblad;1885-07-01;http://resolver.kb.nl/resolve?urn=ddd:011008601:mpeg21:a0001;maps;drawing
ddd:011087358:mpeg21:p002:alto_1.jpg;illustratie met onderschrift;Soerabaijasch handelsblad;1885-11-26;http://resolver.kb.nl/resolve?urn=ddd:011087358:mpeg21:a0007;unknown;drawing
ddd:110613288:mpeg21:p007:alto_1.jpg;illustratie met onderschrift;Bataviaasch handelsblad;1885-07-18;http://resolver.kb.nl/resolve?urn=ddd:110613288:mpeg21:a0055;chess;drawing
ddd:011087075:mpeg21:p005:alto_1.jpg;artikel;Soerabaijasch handelsblad;1885-06-13;http://resolver.kb.nl/resolve?urn=ddd:011087075:mpeg21:a0036;schematics;drawing
ddd:011087075:mpeg21:p005:alto_2.jpg;illustratie met onderschrift;Soerabaijasch handelsblad;1885-06-13;http://resolver.kb.nl/resolve?urn=ddd:011087075:mpeg21:a0037;schematics;drawing
ddd:011087014:mpeg21:p002:alto_1.jpg;illustratie met onderschrift;Soerabaijasch handelsblad;1885-03-30;http://resolver.kb.nl/resolve?urn=ddd:011087014:mpeg21:a0006;graphs;drawing
ddd:010267080:mpeg21:p001:alto_1.jpg;illustratie met onderschrift;De Tĳd : godsdienstig-staatkundig dagblad;1885-09-28;http://resolver.kb.nl/resolve?urn=ddd:010267080:mpeg21:a0003;maps;drawing
MMKB08:000141878:mpeg21:p005:alto_1.jpg;illustratie met onderschrift;Nederlandsche staatscourant;1885-10-02;http://resolver.kb.nl/resolve?urn=MMKB08:000141878:mpeg21:a0008;maps;drawing
ddd:010085461:mpeg21:p001:alto_1.jpg;artikel;Het nieuws van den dag : kleine courant;1885-08-11;http://resolver.kb.nl/resolve?urn=ddd:010085461:mpeg21:a0002;maps;drawing
ddd:010085472:mpeg21:p006:alto_1.jpg;artikel;Het nieuws van den dag : kleine courant;1885-08-24;http://resolver.kb.nl/resolve?urn=ddd:010085472:mpeg21:a0069;weather;drawing
ddd:010871541:mpeg21:p002:alto_1.jpg;artikel;Nieuw Israelietisch weekblad;1885-04-24;http://resolver.kb.nl/resolve?urn=ddd:010871541:mpeg21:a0007;schematics;drawing
ddd:010143346:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-02;http://resolver.kb.nl/resolve?urn=ddd:010143346:mpeg21:a0001;logo;drawing
ddd:010143348:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-03;http://resolver.kb.nl/resolve?urn=ddd:010143348:mpeg21:a0001;logo;drawing
ddd:010143348:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-03;http://resolver.kb.nl/resolve?urn=ddd:010143348:mpeg21:a0001;logo;drawing
ddd:010143350:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-04;http://resolver.kb.nl/resolve?urn=ddd:010143350:mpeg21:a0001;logo;drawing
ddd:010143352:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-06;http://resolver.kb.nl/resolve?urn=ddd:010143352:mpeg21:a0001;logo;drawing
ddd:010143364:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-12;http://resolver.kb.nl/resolve?urn=ddd:010143364:mpeg21:a0053;logo;drawing
ddd:010143365:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-13;http://resolver.kb.nl/resolve?urn=ddd:010143365:mpeg21:a0001;logo;drawing
ddd:010143365:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-13;http://resolver.kb.nl/resolve?urn=ddd:010143365:mpeg21:a0001;logo;drawing
ddd:010143372:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-16;http://resolver.kb.nl/resolve?urn=ddd:010143372:mpeg21:a0001;unknown;drawing
ddd:010143372:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-16;http://resolver.kb.nl/resolve?urn=ddd:010143372:mpeg21:a0001;unknown;drawing
ddd:010143376:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-18;http://resolver.kb.nl/resolve?urn=ddd:010143376:mpeg21:a0001;logo;drawing
ddd:010143376:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-18;http://resolver.kb.nl/resolve?urn=ddd:010143376:mpeg21:a0001;logo;drawing
ddd:010143377:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-19;http://resolver.kb.nl/resolve?urn=ddd:010143377:mpeg21:a0051;maps;drawing
ddd:010143378:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-20;http://resolver.kb.nl/resolve?urn=ddd:010143378:mpeg21:a0001;logo;drawing
ddd:010143378:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-20;http://resolver.kb.nl/resolve?urn=ddd:010143378:mpeg21:a0001;logo;drawing
ddd:010143385:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-23;http://resolver.kb.nl/resolve?urn=ddd:010143385:mpeg21:a0001;logo;drawing
ddd:010143385:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-23;http://resolver.kb.nl/resolve?urn=ddd:010143385:mpeg21:a0001;logo;drawing
ddd:010143387:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-24;http://resolver.kb.nl/resolve?urn=ddd:010143387:mpeg21:a0001;logo;drawing
ddd:010143389:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-25;http://resolver.kb.nl/resolve?urn=ddd:010143389:mpeg21:a0001;logo;drawing
ddd:010143389:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-25;http://resolver.kb.nl/resolve?urn=ddd:010143389:mpeg21:a0001;logo;drawing
ddd:010143391:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-27;http://resolver.kb.nl/resolve?urn=ddd:010143391:mpeg21:a0007;logo;drawing
ddd:010143394:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-28;http://resolver.kb.nl/resolve?urn=ddd:010143394:mpeg21:a0001;logo;drawing
ddd:010143394:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-28;http://resolver.kb.nl/resolve?urn=ddd:010143394:mpeg21:a0001;logo;drawing
ddd:010143396:mpeg21:p003:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-29;http://resolver.kb.nl/resolve?urn=ddd:010143396:mpeg21:a0030;logo;drawing
ddd:010143396:mpeg21:p003:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-29;http://resolver.kb.nl/resolve?urn=ddd:010143396:mpeg21:a0030;logo;drawing
ddd:010143398:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-30;http://resolver.kb.nl/resolve?urn=ddd:010143398:mpeg21:a0001;logo;drawing
ddd:010143398:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-07-30;http://resolver.kb.nl/resolve?urn=ddd:010143398:mpeg21:a0001;logo;drawing
ddd:010143402:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-01;http://resolver.kb.nl/resolve?urn=ddd:010143402:mpeg21:a0001;logo;drawing
ddd:010143402:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-01;http://resolver.kb.nl/resolve?urn=ddd:010143402:mpeg21:a0001;logo;drawing
ddd:010143404:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-03;http://resolver.kb.nl/resolve?urn=ddd:010143404:mpeg21:a0001;logo;drawing
ddd:010143404:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-03;http://resolver.kb.nl/resolve?urn=ddd:010143404:mpeg21:a0001;logo;drawing
ddd:010143407:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-04;http://resolver.kb.nl/resolve?urn=ddd:010143407:mpeg21:a0001;logo;drawing
ddd:010143407:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-04;http://resolver.kb.nl/resolve?urn=ddd:010143407:mpeg21:a0001;logo;drawing
ddd:010143409:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-05;http://resolver.kb.nl/resolve?urn=ddd:010143409:mpeg21:a0001;logo;drawing
ddd:010143409:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-05;http://resolver.kb.nl/resolve?urn=ddd:010143409:mpeg21:a0001;logo;drawing
ddd:010143411:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-06;http://resolver.kb.nl/resolve?urn=ddd:010143411:mpeg21:a0001;logo;drawing
ddd:010143413:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-07;http://resolver.kb.nl/resolve?urn=ddd:010143413:mpeg21:a0001;logo;drawing
ddd:010143415:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-08;http://resolver.kb.nl/resolve?urn=ddd:010143415:mpeg21:a0001;logo;drawing
ddd:010143417:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-10;http://resolver.kb.nl/resolve?urn=ddd:010143417:mpeg21:a0001;logo;drawing
ddd:010143420:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-11;http://resolver.kb.nl/resolve?urn=ddd:010143420:mpeg21:a0001;logo;drawing
ddd:010143420:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-11;http://resolver.kb.nl/resolve?urn=ddd:010143420:mpeg21:a0001;logo;drawing
ddd:010143422:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-12;http://resolver.kb.nl/resolve?urn=ddd:010143422:mpeg21:a0001;logo;drawing
ddd:010143422:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-12;http://resolver.kb.nl/resolve?urn=ddd:010143422:mpeg21:a0001;logo;drawing
ddd:010143426:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-14;http://resolver.kb.nl/resolve?urn=ddd:010143426:mpeg21:a0001;logo;drawing
ddd:010143426:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-14;http://resolver.kb.nl/resolve?urn=ddd:010143426:mpeg21:a0001;logo;drawing
ddd:010143428:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-15;http://resolver.kb.nl/resolve?urn=ddd:010143428:mpeg21:a0001;logo;drawing
ddd:010143428:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-15;http://resolver.kb.nl/resolve?urn=ddd:010143428:mpeg21:a0001;logo;drawing
ddd:010143430:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-17;http://resolver.kb.nl/resolve?urn=ddd:010143430:mpeg21:a0001;logo;drawing
ddd:010143435:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-19;http://resolver.kb.nl/resolve?urn=ddd:010143435:mpeg21:a0001;logo;drawing
ddd:010143435:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-19;http://resolver.kb.nl/resolve?urn=ddd:010143435:mpeg21:a0001;logo;drawing
ddd:010143437:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-20;http://resolver.kb.nl/resolve?urn=ddd:010143437:mpeg21:a0001;logo;drawing
ddd:010143437:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-20;http://resolver.kb.nl/resolve?urn=ddd:010143437:mpeg21:a0001;logo;drawing
ddd:010143439:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-21;http://resolver.kb.nl/resolve?urn=ddd:010143439:mpeg21:a0001;logo;drawing
ddd:010143439:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-21;http://resolver.kb.nl/resolve?urn=ddd:010143439:mpeg21:a0001;logo;drawing
ddd:010143441:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-22;http://resolver.kb.nl/resolve?urn=ddd:010143441:mpeg21:a0001;logo;drawing
ddd:010143441:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-22;http://resolver.kb.nl/resolve?urn=ddd:010143441:mpeg21:a0001;logo;drawing
ddd:010143443:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-24;http://resolver.kb.nl/resolve?urn=ddd:010143443:mpeg21:a0001;logo;drawing
ddd:010143448:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-26;http://resolver.kb.nl/resolve?urn=ddd:010143448:mpeg21:a0001;logo;drawing
ddd:010143450:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-27;http://resolver.kb.nl/resolve?urn=ddd:010143450:mpeg21:a0001;logo;drawing
ddd:010143450:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-27;http://resolver.kb.nl/resolve?urn=ddd:010143450:mpeg21:a0001;logo;drawing
ddd:010143451:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-28;http://resolver.kb.nl/resolve?urn=ddd:010143451:mpeg21:a0053;maps;drawing
ddd:010143451:mpeg21:p005:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-28;http://resolver.kb.nl/resolve?urn=ddd:010143451:mpeg21:a0053;maps;drawing
ddd:010143454:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-29;http://resolver.kb.nl/resolve?urn=ddd:010143454:mpeg21:a0001;logo;drawing
ddd:010143454:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-29;http://resolver.kb.nl/resolve?urn=ddd:010143454:mpeg21:a0001;logo;drawing
ddd:010143455:mpeg21:p009:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-30;http://resolver.kb.nl/resolve?urn=ddd:010143455:mpeg21:a0100;maps;drawing
ddd:010143456:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-31;http://resolver.kb.nl/resolve?urn=ddd:010143456:mpeg21:a0001;logo;drawing
ddd:010143456:mpeg21:p001:alto_1.jpg;artikel;Algemeen Handelsblad;1885-08-31;http://resolver.kb.nl/resolve?urn=ddd:010143456:mpeg21:a0001;logo;drawing
